st_id,st_en_name,st_fa_name,st_type,major_basin,sub_basin,study_area_name,study_area_code,aquifer_name,utm_zone,utm_x,utm_y,decimal_degrees_x,decimal_degrees_y,surface_elevation,sample_type,sample_id,sample_weight,sampling_depth ,sampling_date,precipitation,evaporation,pH_field,pH_lab,EC_field,EC_lab,T_field,T_lab,Q,isotope_analysis_date,delta_H_2,delta_H_2_uncertainnity,delta_O_18,delta_O_18_uncertainnity,time,timestamp,date_gregorian,date,year,month,day,season,season_english,season_persian,month_english,month_persian,wateryear
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-12-01,1.5,,,,,,,,,2019-10-25,-7.916601141815479,0.6277710307110399,-1.1302500325807958,0.25312568132583224,00:00:00,2018-12-01,2018-12-01,1397-9-10,1397,9,10,3,Autumn,پاییز,Azar,آذر,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-01-30,8.5,,,,,,,,,2019-10-26,-21.036753276857702,1.4462405545643742,-3.394921198496829,0.23020587381008897,00:00:00,2019-01-30,2019-01-30,1397-11-10,1397,11,10,4,Winter,زمستان,Bahman,بهمن,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-02-06,,,,,,,,,,2019-10-27,-0.9201102803531377,0.9225583992355184,-0.13799088135076654,0.15145701370355993,00:00:00,2019-02-06,2019-02-06,1397-11-17,1397,11,17,4,Winter,زمستان,Bahman,بهمن,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-02-13,35.5,,,,,,,,,2019-10-28,-30.677793577256516,0.5390477146474768,-4.828503375652498,0.18802521905318983,00:00:00,2019-02-13,2019-02-13,1397-11-24,1397,11,24,4,Winter,زمستان,Bahman,بهمن,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-02-18,4.5,,,,,,,,,2019-10-29,-56.90797574165682,0.5853296618146034,-8.679271303991001,0.17706443846803327,00:00:00,2019-02-18,2019-02-18,1397-11-29,1397,11,29,4,Winter,زمستان,Bahman,بهمن,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-02-21,17.0,,,,,,,,,2019-10-30,-48.597512121534876,1.0307224294962543,-7.422192250041138,0.07579923042705179,00:00:00,2019-02-21,2019-02-21,1397-12-2,1397,12,2,4,Winter,زمستان,Esfand,اسفند,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-02-26,6.0,,,,,,,,,2019-10-31,-10.365370271004767,0.789142428209255,-1.7327691420642597,0.3240420213953742,00:00:00,2019-02-26,2019-02-26,1397-12-7,1397,12,7,4,Winter,زمستان,Esfand,اسفند,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-02,1.0,,,,,,,,,2019-11-01,-14.749302165691919,0.7417801513925807,-3.7309535816268626,0.24989120826871827,00:00:00,2019-03-02,2019-03-02,1397-12-11,1397,12,11,4,Winter,زمستان,Esfand,اسفند,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-07,6.5,,,,,,,,,2019-11-02,-17.7561049764628,0.9161829197818525,-2.8727652202521115,0.15836592194450608,00:00:00,2019-03-07,2019-03-07,1397-12-16,1397,12,16,4,Winter,زمستان,Esfand,اسفند,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-18,10.0,,,,,,,,,2019-11-03,-1.0379373033492976,0.6726793462688376,-0.5497486155050797,0.09359635712284198,00:00:00,2019-03-18,2019-03-18,1397-12-27,1397,12,27,4,Winter,زمستان,Esfand,اسفند,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-21,5.0,,,,,,,,,2019-11-04,-16.014139914895846,0.6897776443656799,-2.6463536439092783,0.13576448926971543,00:00:00,2019-03-21,2019-03-21,1398-1-1,1398,1,1,1,Spring,بهار,Farvardin,فروردین,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-22,19.0,,,,,,,,,2019-11-05,-14.176856128023262,0.8775118134057592,-2.617359175541731,0.07202414641400974,00:00:00,2019-03-22,2019-03-22,1398-1-2,1398,1,2,1,Spring,بهار,Farvardin,فروردین,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-22,19.0,,,,,,,,,2019-11-06,-21.27732689565726,0.5972419197165144,-4.324632401642171,0.14909064826473867,00:00:00,2019-03-22,2019-03-22,1398-1-2,1398,1,2,1,Spring,بهار,Farvardin,فروردین,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2019-03-23,1.0,,,,,,,,,2019-11-07,-6.085551767915836,0.6189327020498002,-1.0634517960739596,0.09135125667809214,00:00:00,2019-03-23,2019-03-23,1398-1-3,1398,1,3,1,Spring,بهار,Farvardin,فروردین,1397-98
